learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,3.0,0.9285714285714286,0.9491525423728814
0.001,50.0,3.0,0.9047619047619048,0.9333333333333333
0.001,30.0,3.0,0.9047619047619048,0.9333333333333333
0.1,50.0,3.0,0.8809523809523809,0.9180327868852459
0.05,30.0,5.0,0.8809523809523809,0.9152542372881356
0.05,10.0,3.0,0.8809523809523809,0.9122807017543859
0.1,30.0,5.0,0.8571428571428571,0.9032258064516129
0.001,30.0,5.0,0.8571428571428571,0.9032258064516129
0.1,50.0,5.0,0.8571428571428571,0.9
0.05,10.0,5.0,0.8571428571428571,0.896551724137931
0.05,50.0,5.0,0.8571428571428571,0.896551724137931
0.1,10.0,5.0,0.8571428571428571,0.8928571428571429
0.001,50.0,5.0,0.8333333333333334,0.8852459016393442
0.05,50.0,3.0,0.8333333333333334,0.8813559322033898
0.05,30.0,3.0,0.8333333333333334,0.8771929824561403
0.001,10.0,5.0,0.8333333333333334,0.8771929824561403
0.1,10.0,3.0,0.8095238095238095,0.8571428571428571
0.1,30.0,3.0,0.7619047619047619,0.8148148148148148
