learning_rate,epochs,context_size,accuracy,f1_score
0.001,30.0,5.0,0.7068965517241379,0.5853658536585366
0.1,10.0,5.0,0.7068965517241379,0.5853658536585366
0.05,10.0,3.0,0.6379310344827587,0.5714285714285714
0.001,50.0,3.0,0.7068965517241379,0.5142857142857142
0.1,30.0,5.0,0.6896551724137931,0.5
0.05,30.0,3.0,0.7068965517241379,0.48484848484848486
0.05,50.0,5.0,0.7413793103448276,0.4827586206896552
0.001,10.0,5.0,0.6551724137931034,0.47368421052631576
0.1,10.0,3.0,0.3793103448275862,0.47058823529411764
0.05,30.0,5.0,0.7241379310344828,0.4666666666666667
0.001,10.0,3.0,0.603448275862069,0.43902439024390244
0.1,50.0,3.0,0.7068965517241379,0.41379310344827586
0.001,50.0,5.0,0.6551724137931034,0.4117647058823529
0.05,50.0,3.0,0.7068965517241379,0.37037037037037035
0.001,30.0,3.0,0.6379310344827587,0.36363636363636365
0.1,30.0,3.0,0.6206896551724138,0.35294117647058826
0.05,10.0,5.0,0.41379310344827586,0.34615384615384615
0.1,50.0,5.0,0.6551724137931034,0.2857142857142857
