learning_rate,epochs,context_size,accuracy,f1_score
0.1,10.0,3.0,0.5652173913043478,0.6341463414634146
0.001,10.0,3.0,0.5797101449275363,0.6233766233766234
0.001,50.0,3.0,0.5942028985507246,0.6216216216216216
0.05,30.0,5.0,0.5652173913043478,0.5833333333333334
0.001,10.0,5.0,0.5362318840579711,0.5789473684210527
0.1,30.0,5.0,0.5652173913043478,0.5714285714285714
0.1,30.0,3.0,0.5652173913043478,0.5588235294117647
0.1,50.0,5.0,0.5072463768115942,0.5526315789473685
0.1,50.0,3.0,0.5652173913043478,0.5454545454545454
0.001,30.0,5.0,0.5507246376811594,0.5373134328358209
0.001,50.0,5.0,0.5072463768115942,0.5277777777777778
0.05,30.0,3.0,0.5217391304347826,0.5217391304347826
0.05,50.0,3.0,0.5362318840579711,0.5151515151515151
0.001,30.0,3.0,0.4782608695652174,0.5
0.05,50.0,5.0,0.4927536231884058,0.4927536231884058
0.1,10.0,5.0,0.5362318840579711,0.4666666666666667
0.05,10.0,5.0,0.4782608695652174,0.3333333333333333
0.05,10.0,3.0,0.4492753623188406,0.09523809523809523
