learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,3.0,1.0,1.0
0.001,30.0,3.0,1.0,1.0
0.1,30.0,5.0,1.0,1.0
0.05,30.0,5.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0
0.1,50.0,5.0,1.0,1.0
0.05,50.0,3.0,1.0,1.0
0.05,30.0,3.0,1.0,1.0
0.001,50.0,3.0,1.0,1.0
0.1,30.0,3.0,0.9791666666666666,0.9772727272727273
0.001,30.0,5.0,0.9791666666666666,0.9772727272727273
0.001,10.0,5.0,0.9791666666666666,0.9772727272727273
0.1,50.0,3.0,0.9791666666666666,0.9761904761904762
0.05,50.0,5.0,0.9791666666666666,0.9761904761904762
0.05,10.0,5.0,0.96875,0.9662921348314607
0.1,10.0,3.0,0.9479166666666666,0.945054945054945
0.05,10.0,3.0,0.9479166666666666,0.945054945054945
0.1,10.0,5.0,0.9479166666666666,0.945054945054945
