learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,3.0,1.0,1.0
0.001,30.0,3.0,1.0,1.0
0.1,30.0,5.0,1.0,1.0
0.05,50.0,5.0,1.0,1.0
0.05,30.0,5.0,1.0,1.0
0.05,10.0,5.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0
0.001,10.0,5.0,1.0,1.0
0.1,50.0,3.0,1.0,1.0
0.05,50.0,3.0,1.0,1.0
0.05,30.0,3.0,1.0,1.0
0.05,10.0,3.0,1.0,1.0
0.001,50.0,3.0,1.0,1.0
0.1,50.0,5.0,1.0,1.0
0.1,30.0,3.0,0.90625,0.9032258064516129
0.1,10.0,3.0,0.90625,0.8888888888888888
0.1,10.0,5.0,0.875,0.8666666666666667
