learning_rate,epochs,context_size,accuracy,f1_score
0.001,30.0,5.0,0.9393939393939394,0.9473684210526315
0.05,50.0,3.0,0.9090909090909091,0.9230769230769231
0.001,50.0,5.0,0.9090909090909091,0.918918918918919
0.001,30.0,3.0,0.9090909090909091,0.9142857142857143
0.001,50.0,3.0,0.8787878787878788,0.8888888888888888
0.05,30.0,3.0,0.8484848484848485,0.8837209302325582
0.001,10.0,5.0,0.8484848484848485,0.8780487804878049
0.001,10.0,3.0,0.8484848484848485,0.8717948717948718
0.1,50.0,5.0,0.8484848484848485,0.8648648648648649
0.05,30.0,5.0,0.8181818181818182,0.85
0.1,30.0,3.0,0.8181818181818182,0.8421052631578947
0.1,30.0,5.0,0.8181818181818182,0.8333333333333334
0.05,50.0,5.0,0.8181818181818182,0.8125
0.05,10.0,3.0,0.7272727272727273,0.8085106382978723
0.1,50.0,3.0,0.7878787878787878,0.7878787878787878
0.1,10.0,3.0,0.696969696969697,0.7727272727272727
0.05,10.0,5.0,0.6363636363636364,0.76
0.1,10.0,5.0,0.6060606060606061,0.7346938775510204
