learning_rate,epochs,context_size,accuracy,f1_score
0.05,10.0,5.0,0.7419354838709677,0.42857142857142855
0.001,50.0,3.0,0.7741935483870968,0.4166666666666667
0.1,50.0,3.0,0.7741935483870968,0.4166666666666667
0.05,50.0,3.0,0.7419354838709677,0.38461538461538464
0.05,30.0,5.0,0.7903225806451613,0.38095238095238093
0.001,30.0,5.0,0.7903225806451613,0.38095238095238093
0.001,30.0,3.0,0.7741935483870968,0.36363636363636365
0.1,50.0,5.0,0.7096774193548387,0.35714285714285715
0.001,50.0,5.0,0.7419354838709677,0.3333333333333333
0.001,10.0,5.0,0.7903225806451613,0.3157894736842105
0.1,30.0,3.0,0.7903225806451613,0.3157894736842105
0.05,10.0,3.0,0.7741935483870968,0.3
0.1,30.0,5.0,0.7741935483870968,0.3
0.1,10.0,5.0,0.7419354838709677,0.2727272727272727
0.05,30.0,3.0,0.7258064516129032,0.2608695652173913
0.05,50.0,5.0,0.7258064516129032,0.2608695652173913
0.001,10.0,3.0,0.7741935483870968,0.2222222222222222
0.1,10.0,3.0,0.8548387096774194,0.0
