learning_rate,epochs,context_size,accuracy,f1_score
0.05,10.0,5.0,0.9032258064516129,0.9387755102040817
0.05,50.0,5.0,0.8709677419354839,0.92
0.001,10.0,5.0,0.8709677419354839,0.9090909090909091
0.05,30.0,3.0,0.8387096774193549,0.8979591836734694
0.1,30.0,5.0,0.8387096774193549,0.8936170212765957
0.001,10.0,3.0,0.8387096774193549,0.8936170212765957
0.05,30.0,5.0,0.8387096774193549,0.8888888888888888
0.1,50.0,3.0,0.8064516129032258,0.8846153846153846
0.05,50.0,3.0,0.8064516129032258,0.88
0.1,50.0,5.0,0.8064516129032258,0.88
0.1,30.0,3.0,0.7741935483870968,0.8571428571428571
0.001,30.0,3.0,0.7741935483870968,0.8444444444444444
0.001,50.0,3.0,0.7419354838709677,0.8333333333333334
0.001,30.0,5.0,0.7096774193548387,0.8235294117647058
0.1,10.0,5.0,0.7096774193548387,0.8085106382978723
0.001,50.0,5.0,0.6774193548387096,0.7916666666666666
0.05,10.0,3.0,0.6774193548387096,0.7727272727272727
0.1,10.0,3.0,0.6451612903225806,0.6857142857142857
