learning_rate,epochs,context_size,accuracy,f1_score
0.001,50.0,5.0,0.9014084507042254,0.9247311827956989
0.001,30.0,3.0,0.9014084507042254,0.9213483146067416
0.001,10.0,3.0,0.8873239436619719,0.9130434782608695
0.001,10.0,5.0,0.8873239436619719,0.9130434782608695
0.05,30.0,3.0,0.8732394366197183,0.9032258064516129
0.1,50.0,5.0,0.8732394366197183,0.9032258064516129
0.1,30.0,5.0,0.8732394366197183,0.9010989010989011
0.001,30.0,5.0,0.8732394366197183,0.896551724137931
0.001,50.0,3.0,0.8732394366197183,0.896551724137931
0.1,50.0,3.0,0.8450704225352113,0.8791208791208791
0.05,30.0,5.0,0.8450704225352113,0.8735632183908046
0.05,50.0,5.0,0.7887323943661971,0.8192771084337349
0.05,50.0,3.0,0.7746478873239436,0.7948717948717948
0.1,30.0,3.0,0.7464788732394366,0.7631578947368421
0.05,10.0,3.0,0.647887323943662,0.6153846153846154
0.05,10.0,5.0,0.5915492957746479,0.5538461538461539
0.1,10.0,3.0,0.4647887323943662,0.24
0.1,10.0,5.0,0.38028169014084506,0.0
