learning_rate,epochs,context_size,accuracy,f1_score
0.001,50.0,3.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0
0.001,30.0,3.0,1.0,1.0
0.001,10.0,5.0,0.99,0.989247311827957
0.1,50.0,3.0,0.98,0.9787234042553191
0.05,50.0,5.0,0.98,0.9787234042553191
0.05,50.0,3.0,0.98,0.9787234042553191
0.001,10.0,3.0,0.98,0.9782608695652174
0.1,50.0,5.0,0.97,0.968421052631579
0.05,30.0,5.0,0.94,0.9387755102040817
0.05,30.0,3.0,0.93,0.9292929292929293
0.1,30.0,5.0,0.93,0.9292929292929293
0.1,30.0,3.0,0.91,0.9108910891089109
0.1,10.0,5.0,0.89,0.8932038834951457
0.1,10.0,3.0,0.85,0.8598130841121495
0.05,10.0,3.0,0.8,0.8214285714285714
0.05,10.0,5.0,0.69,0.7479674796747967
