learning_rate,epochs,context_size,accuracy,f1_score
0.1,50.0,3.0,0.8333333333333334,0.7692307692307693
0.001,50.0,5.0,0.7222222222222222,0.6153846153846154
0.05,10.0,3.0,0.7222222222222222,0.6153846153846154
0.001,30.0,5.0,0.7222222222222222,0.6153846153846154
0.1,10.0,3.0,0.5,0.6086956521739131
0.1,10.0,5.0,0.6111111111111112,0.5333333333333333
0.001,10.0,3.0,0.6666666666666666,0.5
0.1,30.0,5.0,0.6666666666666666,0.5
0.05,50.0,5.0,0.6666666666666666,0.5
0.05,30.0,5.0,0.6666666666666666,0.5
0.05,10.0,5.0,0.6666666666666666,0.5
0.001,10.0,5.0,0.6666666666666666,0.5
0.001,30.0,3.0,0.6666666666666666,0.5
0.1,30.0,3.0,0.6666666666666666,0.5
0.05,30.0,3.0,0.6666666666666666,0.5
0.001,50.0,3.0,0.6666666666666666,0.5
0.1,50.0,5.0,0.6666666666666666,0.5
0.05,50.0,3.0,0.6666666666666666,0.4
