learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,5.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0
0.001,30.0,3.0,0.9230769230769231,0.9333333333333333
0.001,10.0,3.0,0.9230769230769231,0.9333333333333333
0.001,50.0,3.0,0.9230769230769231,0.9333333333333333
0.05,50.0,3.0,0.8846153846153846,0.9032258064516129
0.05,30.0,5.0,0.8846153846153846,0.896551724137931
0.1,50.0,5.0,0.8461538461538461,0.8666666666666667
0.05,30.0,3.0,0.7307692307692307,0.7741935483870968
0.1,30.0,3.0,0.6923076923076923,0.7647058823529411
0.05,10.0,5.0,0.7307692307692307,0.7586206896551724
0.1,10.0,3.0,0.6153846153846154,0.7058823529411765
0.05,10.0,3.0,0.5384615384615384,0.6842105263157895
0.1,50.0,3.0,0.5769230769230769,0.6451612903225806
0.05,50.0,5.0,0.6538461538461539,0.6086956521739131
0.1,10.0,5.0,0.6153846153846154,0.5454545454545454
0.1,30.0,5.0,0.5384615384615384,0.5384615384615384
