learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,5.0,1.0,1.0
0.1,50.0,3.0,1.0,1.0
0.1,30.0,5.0,1.0,1.0
0.05,50.0,5.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0
0.001,30.0,3.0,1.0,1.0
0.1,50.0,5.0,1.0,1.0
0.1,30.0,3.0,1.0,1.0
0.05,50.0,3.0,1.0,1.0
0.05,30.0,3.0,1.0,1.0
0.001,50.0,3.0,1.0,1.0
0.05,10.0,5.0,0.975,0.9743589743589743
0.05,30.0,5.0,0.975,0.9743589743589743
0.001,10.0,3.0,0.975,0.972972972972973
0.05,10.0,3.0,0.95,0.9473684210526315
0.1,10.0,5.0,0.8,0.7894736842105263
0.1,10.0,3.0,0.75,0.7368421052631579
