learning_rate,epochs,context_size,accuracy,f1_score
0.001,50.0,5.0,0.94,0.9508196721311475
0.001,30.0,3.0,0.92,0.9354838709677419
0.1,30.0,3.0,0.92,0.9354838709677419
0.1,50.0,3.0,0.9,0.9206349206349206
0.001,10.0,5.0,0.9,0.9152542372881356
0.001,50.0,3.0,0.9,0.9152542372881356
0.05,10.0,3.0,0.9,0.9122807017543859
0.1,30.0,5.0,0.88,0.90625
0.001,10.0,3.0,0.88,0.90625
0.05,50.0,3.0,0.88,0.9032258064516129
0.1,50.0,5.0,0.88,0.9032258064516129
0.001,30.0,5.0,0.88,0.9
0.05,30.0,3.0,0.88,0.9
0.05,10.0,5.0,0.88,0.896551724137931
0.05,30.0,5.0,0.88,0.896551724137931
0.05,50.0,5.0,0.88,0.896551724137931
0.1,10.0,5.0,0.86,0.8923076923076924
0.1,10.0,3.0,0.7,0.6666666666666666
