learning_rate,epochs,context_size,accuracy,f1_score
0.05,30.0,3.0,0.7204301075268817,0.6060606060606061
0.05,10.0,3.0,0.6559139784946236,0.5897435897435898
0.1,10.0,3.0,0.4838709677419355,0.5789473684210527
0.05,10.0,5.0,0.5591397849462365,0.5773195876288659
0.1,30.0,3.0,0.6881720430107527,0.5671641791044776
0.1,30.0,5.0,0.6559139784946236,0.5555555555555556
0.05,30.0,5.0,0.6774193548387096,0.53125
0.001,50.0,3.0,0.6559139784946236,0.5294117647058824
0.05,50.0,5.0,0.6989247311827957,0.5172413793103449
0.001,10.0,3.0,0.6559139784946236,0.5
0.001,10.0,5.0,0.6774193548387096,0.5
0.05,50.0,3.0,0.6559139784946236,0.4838709677419355
0.1,50.0,5.0,0.6989247311827957,0.48148148148148145
0.001,50.0,5.0,0.6451612903225806,0.47619047619047616
0.001,30.0,3.0,0.5913978494623656,0.4411764705882353
0.001,30.0,5.0,0.5913978494623656,0.42424242424242425
0.1,10.0,5.0,0.3548387096774194,0.4
0.1,50.0,3.0,0.6344086021505376,0.37037037037037035
