learning_rate,epochs,context_size,accuracy,f1_score
0.05,50.0,5.0,0.9285714285714286,0.9411764705882353
0.05,30.0,5.0,0.9047619047619048,0.92
0.001,10.0,5.0,0.8809523809523809,0.8979591836734694
0.1,30.0,3.0,0.8571428571428571,0.88
0.1,30.0,5.0,0.8571428571428571,0.875
0.1,10.0,3.0,0.8333333333333334,0.8627450980392157
0.001,50.0,5.0,0.8333333333333334,0.8571428571428571
0.1,50.0,3.0,0.8333333333333334,0.8571428571428571
0.001,50.0,3.0,0.8333333333333334,0.851063829787234
0.1,50.0,5.0,0.8095238095238095,0.8461538461538461
0.1,10.0,5.0,0.8333333333333334,0.8444444444444444
0.05,30.0,3.0,0.8095238095238095,0.84
0.001,30.0,3.0,0.8095238095238095,0.8260869565217391
0.05,50.0,3.0,0.8095238095238095,0.8260869565217391
0.001,10.0,3.0,0.8095238095238095,0.8260869565217391
0.05,10.0,3.0,0.7619047619047619,0.782608695652174
0.001,30.0,5.0,0.7619047619047619,0.7727272727272727
0.05,10.0,5.0,0.7142857142857143,0.7391304347826086
