n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.7647058823529411,0.7777777777777778
30,3,0.05,0.7647058823529411,0.7777777777777778
30,3,0.1,0.7647058823529411,0.7777777777777778
20,5,0.1,0.7647058823529411,0.7777777777777778
20,3,0.1,0.7647058823529411,0.7777777777777778
10,5,0.1,0.7647058823529411,0.7777777777777778
10,3,0.1,0.7647058823529411,0.7777777777777778
30,5,0.05,0.7647058823529411,0.7777777777777778
30,5,0.1,0.7647058823529411,0.7777777777777778
20,3,0.05,0.7647058823529411,0.7777777777777778
10,5,0.05,0.5882352941176471,0.5333333333333333
10,3,0.05,0.5882352941176471,0.5333333333333333
30,5,0.01,0.5882352941176471,0.5333333333333333
30,3,0.01,0.5882352941176471,0.5333333333333333
10,5,0.01,0.4117647058823529,0.0
20,5,0.01,0.4117647058823529,0.0
20,3,0.01,0.4117647058823529,0.0
10,3,0.01,0.4117647058823529,0.0
