n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8333333333333334,0.8888888888888888
30,3,0.05,0.8333333333333334,0.8888888888888888
30,3,0.1,0.8333333333333334,0.8888888888888888
20,5,0.1,0.8333333333333334,0.8888888888888888
20,3,0.1,0.8333333333333334,0.8888888888888888
10,5,0.1,0.8333333333333334,0.8888888888888888
10,3,0.1,0.8333333333333334,0.8888888888888888
10,5,0.05,0.8333333333333334,0.8888888888888888
20,3,0.05,0.8333333333333334,0.8888888888888888
30,5,0.05,0.8333333333333334,0.8888888888888888
10,3,0.01,0.75,0.8571428571428571
10,5,0.01,0.75,0.8571428571428571
10,3,0.05,0.75,0.8571428571428571
30,5,0.01,0.75,0.8571428571428571
30,3,0.01,0.75,0.8571428571428571
20,5,0.01,0.75,0.8571428571428571
20,3,0.01,0.75,0.8571428571428571
30,5,0.1,0.7916666666666666,0.8571428571428571
