n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9473684210526315,0.8888888888888888
30,3,0.1,0.9473684210526315,0.8888888888888888
20,5,0.1,0.9473684210526315,0.8888888888888888
20,3,0.1,0.9473684210526315,0.8888888888888888
30,5,0.05,0.8947368421052632,0.75
30,3,0.05,0.8947368421052632,0.75
20,3,0.05,0.7894736842105263,0.3333333333333333
10,5,0.1,0.7894736842105263,0.3333333333333333
20,5,0.05,0.7894736842105263,0.3333333333333333
10,5,0.01,0.7368421052631579,0.0
10,5,0.05,0.7368421052631579,0.0
10,3,0.05,0.7368421052631579,0.0
10,3,0.1,0.7368421052631579,0.0
30,5,0.01,0.7368421052631579,0.0
30,3,0.01,0.7368421052631579,0.0
20,5,0.01,0.7368421052631579,0.0
20,3,0.01,0.7368421052631579,0.0
10,3,0.01,0.7368421052631579,0.0
