n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.9090909090909091,0.9411764705882353
30,3,0.05,0.9090909090909091,0.9411764705882353
30,3,0.1,0.9090909090909091,0.9411764705882353
20,5,0.1,0.9090909090909091,0.9411764705882353
20,3,0.1,0.9090909090909091,0.9411764705882353
10,5,0.1,0.9090909090909091,0.9411764705882353
10,3,0.1,0.9090909090909091,0.9411764705882353
30,5,0.05,0.9090909090909091,0.9411764705882353
30,5,0.1,0.9090909090909091,0.9411764705882353
20,3,0.05,0.9090909090909091,0.9411764705882353
10,5,0.05,0.8181818181818182,0.875
10,3,0.05,0.8181818181818182,0.875
30,5,0.01,0.8181818181818182,0.875
30,3,0.01,0.8181818181818182,0.875
20,5,0.01,0.45454545454545453,0.5
20,3,0.01,0.45454545454545453,0.5
10,5,0.01,0.18181818181818182,0.0
10,3,0.01,0.18181818181818182,0.0
