n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9811320754716981,0.8888888888888888
30,3,0.1,0.9811320754716981,0.8888888888888888
20,5,0.1,0.9811320754716981,0.8888888888888888
20,3,0.1,0.9811320754716981,0.8888888888888888
30,3,0.05,0.9433962264150944,0.5714285714285714
10,5,0.1,0.9433962264150944,0.5714285714285714
10,3,0.1,0.9433962264150944,0.5714285714285714
30,5,0.05,0.9433962264150944,0.5714285714285714
20,5,0.05,0.9433962264150944,0.5714285714285714
20,3,0.05,0.9433962264150944,0.5714285714285714
10,5,0.01,0.9245283018867925,0.0
10,5,0.05,0.9245283018867925,0.0
10,3,0.05,0.9245283018867925,0.0
30,5,0.01,0.9245283018867925,0.0
30,3,0.01,0.9245283018867925,0.0
20,5,0.01,0.9245283018867925,0.0
20,3,0.01,0.9245283018867925,0.0
10,3,0.01,0.9245283018867925,0.0
