n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.9090909090909091,0.8571428571428571
30,3,0.05,0.9090909090909091,0.8571428571428571
30,3,0.1,0.9090909090909091,0.8571428571428571
20,5,0.1,0.9090909090909091,0.8571428571428571
20,3,0.1,0.9090909090909091,0.8571428571428571
10,5,0.1,0.9090909090909091,0.8571428571428571
10,3,0.1,0.9090909090909091,0.8571428571428571
30,5,0.05,0.9090909090909091,0.8571428571428571
30,5,0.1,0.9090909090909091,0.8571428571428571
20,3,0.05,0.9090909090909091,0.8571428571428571
10,5,0.01,0.6363636363636364,0.0
10,5,0.05,0.6363636363636364,0.0
10,3,0.05,0.6363636363636364,0.0
30,5,0.01,0.6363636363636364,0.0
30,3,0.01,0.6363636363636364,0.0
20,5,0.01,0.6363636363636364,0.0
20,3,0.01,0.6363636363636364,0.0
10,3,0.01,0.6363636363636364,0.0
