n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9523809523809523,0.96
30,3,0.1,0.9523809523809523,0.96
30,3,0.05,0.9285714285714286,0.9411764705882353
20,5,0.1,0.9285714285714286,0.9411764705882353
20,3,0.1,0.9285714285714286,0.9411764705882353
10,3,0.1,0.9285714285714286,0.9411764705882353
30,5,0.05,0.9285714285714286,0.9411764705882353
10,5,0.1,0.9047619047619048,0.9230769230769231
20,5,0.05,0.9047619047619048,0.9230769230769231
20,3,0.05,0.9047619047619048,0.9230769230769231
10,3,0.05,0.8571428571428571,0.8888888888888888
10,5,0.05,0.8333333333333334,0.8727272727272727
10,5,0.01,0.5714285714285714,0.7272727272727273
30,5,0.01,0.5714285714285714,0.7272727272727273
30,3,0.01,0.5714285714285714,0.7272727272727273
20,5,0.01,0.5714285714285714,0.7272727272727273
20,3,0.01,0.5714285714285714,0.7272727272727273
10,3,0.01,0.5714285714285714,0.7272727272727273
