n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.05,0.6551724137931034,0.2857142857142857
30,3,0.1,0.6551724137931034,0.2857142857142857
20,3,0.1,0.6551724137931034,0.2857142857142857
30,5,0.1,0.6379310344827587,0.27586206896551724
20,5,0.1,0.6206896551724138,0.21428571428571427
10,3,0.05,0.6379310344827587,0.16
10,5,0.05,0.6379310344827587,0.16
10,5,0.1,0.6206896551724138,0.15384615384615385
10,3,0.1,0.6206896551724138,0.15384615384615385
30,5,0.05,0.6206896551724138,0.15384615384615385
20,5,0.05,0.6206896551724138,0.15384615384615385
20,3,0.05,0.6206896551724138,0.15384615384615385
10,5,0.01,0.6551724137931034,0.0
30,5,0.01,0.6551724137931034,0.0
30,3,0.01,0.6551724137931034,0.0
20,5,0.01,0.6551724137931034,0.0
20,3,0.01,0.6551724137931034,0.0
10,3,0.01,0.6551724137931034,0.0
