n_estimators,max_depth,learning_rate,accuracy,f1_score
10,5,0.1,0.6086956521739131,0.6493506493506493
30,5,0.05,0.5942028985507246,0.6216216216216216
30,5,0.01,0.6086956521739131,0.6197183098591549
20,5,0.1,0.5797101449275363,0.6133333333333333
10,5,0.05,0.5942028985507246,0.6111111111111112
30,3,0.01,0.6231884057971014,0.6060606060606061
10,3,0.05,0.6231884057971014,0.6060606060606061
20,5,0.05,0.5797101449275363,0.6027397260273972
30,3,0.05,0.5797101449275363,0.6027397260273972
30,3,0.1,0.5942028985507246,0.6
30,5,0.1,0.5652173913043478,0.5945945945945946
20,3,0.05,0.5652173913043478,0.5833333333333334
20,3,0.1,0.5652173913043478,0.5833333333333334
10,3,0.1,0.5507246376811594,0.5633802816901409
10,5,0.01,0.5652173913043478,0.5454545454545454
20,5,0.01,0.5652173913043478,0.5454545454545454
20,3,0.01,0.5942028985507246,0.5333333333333333
10,3,0.01,0.5942028985507246,0.5172413793103449
