n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8787878787878788,0.8333333333333334
20,3,0.01,0.8484848484848485,0.782608695652174
30,3,0.05,0.8181818181818182,0.75
30,3,0.1,0.8181818181818182,0.75
20,5,0.1,0.8181818181818182,0.75
20,3,0.1,0.8181818181818182,0.75
10,5,0.1,0.8181818181818182,0.75
10,3,0.1,0.8181818181818182,0.75
30,5,0.05,0.8181818181818182,0.75
20,5,0.05,0.8181818181818182,0.75
10,5,0.05,0.8181818181818182,0.75
10,3,0.05,0.8181818181818182,0.75
30,5,0.01,0.8181818181818182,0.75
30,3,0.01,0.8181818181818182,0.75
20,5,0.01,0.8181818181818182,0.75
10,5,0.01,0.8181818181818182,0.7272727272727273
10,3,0.01,0.8181818181818182,0.7272727272727273
20,3,0.05,0.7878787878787878,0.72
