n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.7741935483870968,0.46153846153846156
30,3,0.05,0.7419354838709677,0.3333333333333333
20,5,0.1,0.7419354838709677,0.3333333333333333
20,3,0.1,0.7419354838709677,0.3333333333333333
30,5,0.05,0.7419354838709677,0.3333333333333333
30,3,0.1,0.7258064516129032,0.32
20,5,0.05,0.7580645161290323,0.2857142857142857
10,5,0.1,0.7419354838709677,0.2727272727272727
20,3,0.05,0.7580645161290323,0.21052631578947367
10,3,0.1,0.7580645161290323,0.21052631578947367
10,5,0.05,0.7258064516129032,0.0
10,5,0.01,0.7258064516129032,0.0
10,3,0.05,0.7258064516129032,0.0
30,5,0.01,0.7258064516129032,0.0
30,3,0.01,0.7258064516129032,0.0
20,5,0.01,0.7258064516129032,0.0
20,3,0.01,0.7258064516129032,0.0
10,3,0.01,0.7258064516129032,0.0
