n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9032258064516129,0.9387755102040817
30,3,0.1,0.8709677419354839,0.9230769230769231
30,3,0.05,0.8709677419354839,0.9230769230769231
20,5,0.1,0.8709677419354839,0.92
20,3,0.05,0.8387096774193549,0.9056603773584906
10,5,0.1,0.8387096774193549,0.9056603773584906
10,3,0.1,0.8387096774193549,0.9056603773584906
20,5,0.05,0.8387096774193549,0.9056603773584906
30,5,0.05,0.8387096774193549,0.9019607843137255
20,3,0.1,0.8387096774193549,0.9019607843137255
10,5,0.05,0.7741935483870968,0.8727272727272727
10,5,0.01,0.7741935483870968,0.8727272727272727
10,3,0.05,0.7741935483870968,0.8727272727272727
30,5,0.01,0.7741935483870968,0.8727272727272727
30,3,0.01,0.7741935483870968,0.8727272727272727
20,5,0.01,0.7741935483870968,0.8727272727272727
20,3,0.01,0.7741935483870968,0.8727272727272727
10,3,0.01,0.7741935483870968,0.8727272727272727
