n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8873239436619719,0.9130434782608695
30,3,0.05,0.8873239436619719,0.9130434782608695
30,3,0.1,0.8873239436619719,0.9130434782608695
20,5,0.1,0.8873239436619719,0.9130434782608695
20,3,0.1,0.8873239436619719,0.9130434782608695
10,5,0.1,0.8873239436619719,0.9130434782608695
10,3,0.1,0.8873239436619719,0.9130434782608695
30,5,0.05,0.8873239436619719,0.9130434782608695
30,5,0.1,0.8873239436619719,0.9130434782608695
20,3,0.05,0.8873239436619719,0.9130434782608695
30,5,0.01,0.8732394366197183,0.912621359223301
30,3,0.01,0.8732394366197183,0.912621359223301
10,5,0.05,0.8732394366197183,0.9108910891089109
10,3,0.05,0.8591549295774648,0.9019607843137255
10,5,0.01,0.6619718309859155,0.7966101694915254
20,5,0.01,0.6619718309859155,0.7966101694915254
20,3,0.01,0.6619718309859155,0.7966101694915254
10,3,0.01,0.6619718309859155,0.7966101694915254
