n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.6666666666666666,0.8
20,3,0.01,0.6666666666666666,0.8
20,5,0.01,0.6666666666666666,0.8
30,3,0.01,0.6666666666666666,0.8
30,5,0.01,0.6666666666666666,0.8
10,5,0.01,0.6666666666666666,0.8
10,3,0.1,0.6666666666666666,0.7777777777777778
30,3,0.1,0.6666666666666666,0.7777777777777778
20,5,0.1,0.6666666666666666,0.7777777777777778
20,3,0.1,0.6666666666666666,0.7777777777777778
10,5,0.1,0.6666666666666666,0.7777777777777778
20,5,0.05,0.6666666666666666,0.7777777777777778
30,5,0.05,0.6666666666666666,0.7777777777777778
30,3,0.05,0.6666666666666666,0.7777777777777778
20,3,0.05,0.6666666666666666,0.7777777777777778
10,5,0.05,0.6666666666666666,0.7777777777777778
10,3,0.05,0.6666666666666666,0.7777777777777778
30,5,0.1,0.6666666666666666,0.7777777777777778
