n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8888888888888888,0.8
10,5,0.1,0.8888888888888888,0.8
30,3,0.1,0.8888888888888888,0.8
20,5,0.1,0.8888888888888888,0.8
30,3,0.01,0.8888888888888888,0.8
30,5,0.01,0.8888888888888888,0.8
10,3,0.05,0.8888888888888888,0.8
10,5,0.05,0.8888888888888888,0.8
20,3,0.05,0.8888888888888888,0.8
20,3,0.1,0.8888888888888888,0.8
30,3,0.05,0.8888888888888888,0.8
30,5,0.05,0.8888888888888888,0.8
10,3,0.1,0.8888888888888888,0.8
20,5,0.05,0.8333333333333334,0.7272727272727273
10,5,0.01,0.6666666666666666,0.0
20,5,0.01,0.6666666666666666,0.0
20,3,0.01,0.6666666666666666,0.0
10,3,0.01,0.6666666666666666,0.0
