n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.6363636363636364,0.6666666666666666
30,3,0.05,0.6363636363636364,0.6666666666666666
30,3,0.1,0.6363636363636364,0.6666666666666666
20,5,0.1,0.6363636363636364,0.6666666666666666
20,3,0.1,0.6363636363636364,0.6666666666666666
10,5,0.1,0.6363636363636364,0.6666666666666666
10,3,0.1,0.6363636363636364,0.6666666666666666
30,5,0.05,0.6363636363636364,0.6666666666666666
30,5,0.1,0.6363636363636364,0.6666666666666666
20,3,0.05,0.6363636363636364,0.6666666666666666
10,5,0.01,0.5909090909090909,0.64
10,5,0.05,0.5909090909090909,0.64
10,3,0.05,0.5909090909090909,0.64
30,5,0.01,0.5909090909090909,0.64
30,3,0.01,0.5909090909090909,0.64
20,5,0.01,0.5909090909090909,0.64
20,3,0.01,0.5909090909090909,0.64
10,3,0.01,0.5909090909090909,0.64
