n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9230769230769231,0.9230769230769231
20,5,0.1,0.8846153846153846,0.8888888888888888
30,5,0.05,0.8461538461538461,0.8571428571428571
30,3,0.1,0.8461538461538461,0.8461538461538461
20,5,0.05,0.7692307692307693,0.8
10,5,0.01,0.6538461538461539,0.7272727272727273
10,5,0.1,0.6923076923076923,0.7142857142857143
30,5,0.01,0.6153846153846154,0.6666666666666666
10,5,0.05,0.6153846153846154,0.6666666666666666
30,3,0.05,0.6538461538461539,0.6666666666666666
20,3,0.1,0.6538461538461539,0.6666666666666666
20,5,0.01,0.6153846153846154,0.6666666666666666
10,3,0.05,0.6153846153846154,0.6428571428571429
20,3,0.05,0.6153846153846154,0.6428571428571429
30,3,0.01,0.6153846153846154,0.6428571428571429
10,3,0.1,0.6153846153846154,0.6428571428571429
20,3,0.01,0.5384615384615384,0.5714285714285714
10,3,0.01,0.5384615384615384,0.5714285714285714
