n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.05,1.0,1.0
30,3,0.1,1.0,1.0
20,3,0.1,1.0,1.0
20,3,0.05,1.0,1.0
20,5,0.05,0.975,0.9767441860465116
20,5,0.1,0.975,0.9767441860465116
10,5,0.1,0.975,0.9767441860465116
10,3,0.1,0.975,0.9767441860465116
30,5,0.05,0.975,0.9767441860465116
30,5,0.1,0.975,0.9767441860465116
10,5,0.05,0.975,0.9767441860465116
30,3,0.01,0.95,0.9545454545454546
30,5,0.01,0.95,0.9523809523809523
20,3,0.01,0.925,0.9302325581395349
10,3,0.05,0.925,0.926829268292683
20,5,0.01,0.925,0.926829268292683
10,3,0.01,0.875,0.8780487804878049
10,5,0.01,0.875,0.8717948717948718
