n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.01,0.92,0.9130434782608695
30,5,0.1,0.9,0.8936170212765957
20,5,0.1,0.9,0.8936170212765957
30,3,0.1,0.88,0.875
20,3,0.1,0.88,0.875
10,3,0.05,0.88,0.875
20,3,0.05,0.88,0.875
10,3,0.1,0.88,0.875
30,3,0.05,0.88,0.875
10,5,0.05,0.86,0.8571428571428571
30,5,0.05,0.86,0.851063829787234
20,5,0.05,0.86,0.851063829787234
10,5,0.1,0.84,0.8333333333333334
30,5,0.01,0.82,0.8235294117647058
10,5,0.01,0.8,0.8076923076923077
20,5,0.01,0.8,0.8076923076923077
20,3,0.01,0.8,0.8076923076923077
10,3,0.01,0.8,0.8076923076923077
