n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.8064516129032258,0.6538461538461539
30,5,0.1,0.7526881720430108,0.5660377358490566
20,3,0.1,0.7526881720430108,0.5306122448979592
20,5,0.1,0.7311827956989247,0.5098039215686274
30,3,0.05,0.7419354838709677,0.5
30,5,0.05,0.6881720430107527,0.40816326530612246
10,5,0.1,0.6881720430107527,0.3829787234042553
20,5,0.05,0.6881720430107527,0.3829787234042553
10,3,0.1,0.7096774193548387,0.37209302325581395
20,3,0.05,0.6989247311827957,0.3333333333333333
10,5,0.05,0.6559139784946236,0.2
10,3,0.05,0.6774193548387096,0.0625
10,5,0.01,0.6774193548387096,0.0
30,5,0.01,0.6774193548387096,0.0
30,3,0.01,0.6774193548387096,0.0
20,5,0.01,0.6774193548387096,0.0
20,3,0.01,0.6774193548387096,0.0
10,3,0.01,0.6774193548387096,0.0
