n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.7407407407407407,0.851063829787234
10,5,0.01,0.7407407407407407,0.851063829787234
30,3,0.1,0.7407407407407407,0.851063829787234
20,5,0.1,0.7407407407407407,0.851063829787234
20,3,0.1,0.7407407407407407,0.851063829787234
10,5,0.1,0.7407407407407407,0.851063829787234
10,3,0.1,0.7407407407407407,0.851063829787234
30,5,0.05,0.7407407407407407,0.851063829787234
30,3,0.05,0.7407407407407407,0.851063829787234
20,5,0.05,0.7407407407407407,0.851063829787234
20,3,0.05,0.7407407407407407,0.851063829787234
10,5,0.05,0.7407407407407407,0.851063829787234
10,3,0.05,0.7407407407407407,0.851063829787234
30,5,0.01,0.7407407407407407,0.851063829787234
30,3,0.01,0.7407407407407407,0.851063829787234
20,5,0.01,0.7407407407407407,0.851063829787234
20,3,0.01,0.7407407407407407,0.851063829787234
30,5,0.1,0.7407407407407407,0.851063829787234
