n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.7857142857142857,0.8598130841121495
30,3,0.1,0.7857142857142857,0.8598130841121495
20,5,0.1,0.7857142857142857,0.8598130841121495
20,3,0.1,0.7857142857142857,0.8598130841121495
20,3,0.05,0.7428571428571429,0.8524590163934426
10,3,0.1,0.7428571428571429,0.8524590163934426
10,5,0.01,0.7428571428571429,0.8524590163934426
10,3,0.01,0.7428571428571429,0.8524590163934426
10,5,0.05,0.7428571428571429,0.8524590163934426
10,3,0.05,0.7428571428571429,0.8524590163934426
30,5,0.01,0.7428571428571429,0.8524590163934426
30,3,0.01,0.7428571428571429,0.8524590163934426
20,5,0.01,0.7428571428571429,0.8524590163934426
20,3,0.01,0.7428571428571429,0.8524590163934426
20,5,0.05,0.7428571428571429,0.8524590163934426
30,5,0.05,0.7714285714285715,0.8518518518518519
30,3,0.05,0.7,0.8141592920353983
10,5,0.1,0.7,0.8141592920353983
